instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,target_file,target_pos,target_resp,target_side,participant,date,expName,psychopyVersion,OS,frameRate,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,target_onset,err,pun,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,0,23.4691,p,1,2.3563,0,0,0,0,1,right.png,,p,left,6102c1985bc0272a6ac32793,2021-10-21_10h46.02.253,arrow_simon_punish,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.1717,0,1,1,3,1,left.png,,w,right,6102c1985bc0272a6ac32793,2021-10-21_10h46.02.253,arrow_simon_punish,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.8688,0,2,2,1,1,right.png,,p,right,6102c1985bc0272a6ac32793,2021-10-21_10h46.02.253,arrow_simon_punish,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.595,0,3,3,2,1,left.png,,w,left,6102c1985bc0272a6ac32793,2021-10-21_10h46.02.253,arrow_simon_punish,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.905,1,0,4,0,1,right.png,,p,left,6102c1985bc0272a6ac32793,2021-10-21_10h46.02.253,arrow_simon_punish,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.2449,1,1,5,1,1,right.png,,p,right,6102c1985bc0272a6ac32793,2021-10-21_10h46.02.253,arrow_simon_punish,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.3245,1,2,6,2,1,left.png,,w,left,6102c1985bc0272a6ac32793,2021-10-21_10h46.02.253,arrow_simon_punish,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.8682,1,3,7,3,1,left.png,,w,right,6102c1985bc0272a6ac32793,2021-10-21_10h46.02.253,arrow_simon_punish,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.0191,2,0,8,0,1,right.png,,p,left,6102c1985bc0272a6ac32793,2021-10-21_10h46.02.253,arrow_simon_punish,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.8679,2,1,9,2,1,left.png,,w,left,6102c1985bc0272a6ac32793,2021-10-21_10h46.02.253,arrow_simon_punish,2021.1.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,
