instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,target_file,target_pos,target_resp,target_side,participant,date,expName,psychopyVersion,OS,frameRate,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,target_onset,err,pun,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,block_num,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,punish,complete_resp.keys,complete_resp.rt,raffle_trial,raffle_err,raffle_rew
space,0,24.2601,p,1,1.2514,0,0,0,1,1,right.png,,p,right,614d2176e7d39d8826847a43,2021-10-21_20h15.24.914,arrow_simon_punish,2021.1.2,Win32,61.244488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.6508,0,1,1,2,1,left.png,,w,left,614d2176e7d39d8826847a43,2021-10-21_20h15.24.914,arrow_simon_punish,2021.1.2,Win32,61.244488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,0,0.7349,0,2,2,3,1,left.png,,w,right,614d2176e7d39d8826847a43,2021-10-21_20h15.24.914,arrow_simon_punish,2021.1.2,Win32,61.244488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.0359,0,3,3,0,1,right.png,,p,left,614d2176e7d39d8826847a43,2021-10-21_20h15.24.914,arrow_simon_punish,2021.1.2,Win32,61.244488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.1886,1,0,4,0,1,right.png,,p,left,614d2176e7d39d8826847a43,2021-10-21_20h15.24.914,arrow_simon_punish,2021.1.2,Win32,61.244488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.7268,1,1,5,1,1,right.png,,p,right,614d2176e7d39d8826847a43,2021-10-21_20h15.24.914,arrow_simon_punish,2021.1.2,Win32,61.244488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.7184,1,2,6,3,1,left.png,,w,right,614d2176e7d39d8826847a43,2021-10-21_20h15.24.914,arrow_simon_punish,2021.1.2,Win32,61.244488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.9623,1,3,7,2,1,left.png,,w,left,614d2176e7d39d8826847a43,2021-10-21_20h15.24.914,arrow_simon_punish,2021.1.2,Win32,61.244488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.3359,2,0,8,2,1,left.png,,w,left,614d2176e7d39d8826847a43,2021-10-21_20h15.24.914,arrow_simon_punish,2021.1.2,Win32,61.244488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.1353,2,1,9,0,1,right.png,,p,left,614d2176e7d39d8826847a43,2021-10-21_20h15.24.914,arrow_simon_punish,2021.1.2,Win32,61.244488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
