instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,target_file,target_pos,target_resp,target_side,participant,date,expName,psychopyVersion,OS,frameRate,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,target_onset,err,pun,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,block_num,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,punish,complete_resp.keys,complete_resp.rt,raffle_trial,raffle_err,raffle_rew
space,0,30.499,w,0,2.7642,0,0,0,0,1,right.png,,p,left,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.8696,0,1,1,2,1,left.png,,w,left,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.5099,0,2,2,1,1,right.png,,p,right,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.2998,0,3,3,3,1,left.png,,w,right,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.9736,1,0,4,1,1,right.png,,p,right,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.6443,1,1,5,2,1,left.png,,w,left,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.334,1,2,6,3,1,left.png,,w,right,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.5492,1,3,7,0,1,right.png,,p,left,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.3088,2,0,8,3,1,left.png,,w,right,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,2.3987,2,1,9,1,1,right.png,,p,right,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.4007,2,2,10,2,1,left.png,,w,left,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.6131,2,3,11,0,1,right.png,,p,left,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.9901,3,0,12,0,1,right.png,,p,left,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.661,3,1,13,2,1,left.png,,w,left,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.124,3,2,14,3,1,left.png,,w,right,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.2085,3,3,15,1,1,right.png,,p,right,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.2129,4,0,16,2,1,left.png,,w,left,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.4422,4,1,17,0,1,right.png,,p,left,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.5808,4,2,18,1,1,right.png,,p,right,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.2164,4,3,19,3,1,left.png,,w,right,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.0068,5,0,20,1,1,right.png,,p,right,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,2.2807,5,1,21,2,1,left.png,,w,left,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.6787,5,2,22,3,1,left.png,,w,right,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.7945,5,3,23,0,1,right.png,,p,left,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.7104,6,0,24,0,1,right.png,,p,left,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.3589,6,1,25,3,1,left.png,,w,right,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.9796,6,2,26,2,1,left.png,,w,left,6152b8943ef5c73934ed350a,2021-10-22_16h04.03.316,arrow_simon_punish,2021.1.2,Win32,59.63029219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
