instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,target_file,target_pos,target_resp,target_side,participant,date,expName,psychopyVersion,OS,frameRate,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,target_onset,err,pun,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,block_num,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,punish,complete_resp.keys,complete_resp.rt,raffle_trial,raffle_err,raffle_rew
space,0,16.58,p,0,2.866,0,0,0,3,1,left.png,,w,right,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,4.652,0,1,1,2,1,left.png,,w,left,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,3.186,0,2,2,0,1,right.png,,p,left,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,2.896,0,3,3,1,1,right.png,,p,right,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.122,1,0,4,3,1,left.png,,w,right,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,0,2.72,1,1,5,2,1,left.png,,w,left,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,0,1.349,1,2,6,1,1,right.png,,p,right,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,7.749,1,3,7,0,1,right.png,,p,left,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,0,2.94,2,0,8,3,1,left.png,,w,right,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,0,2.918,2,1,9,2,1,left.png,,w,left,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,0,1.855,2,2,10,1,1,right.png,,p,right,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,2.247,2,3,11,0,1,right.png,,p,left,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,0,3.539,3,0,12,3,1,left.png,,w,right,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,3.144,3,1,13,1,1,right.png,,p,right,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,0,2.843,3,2,14,0,1,right.png,,p,left,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,4.303,3,3,15,2,1,left.png,,w,left,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,3.623,4,0,16,1,1,right.png,,p,right,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,5.577,4,1,17,0,1,right.png,,p,left,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,7.016,4,2,18,3,1,left.png,,w,right,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,5.36,4,3,19,2,1,left.png,,w,left,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.913,5,0,20,1,1,right.png,,p,right,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,6.571,5,1,21,3,1,left.png,,w,right,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,2.478,5,2,22,0,1,right.png,,p,left,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,5.47,5,3,23,2,1,left.png,,w,left,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,4.996,6,0,24,2,1,left.png,,w,left,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.649,6,1,25,0,1,right.png,,p,left,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,2.745,6,2,26,3,1,left.png,,w,right,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,5.328,6,3,27,1,1,right.png,,p,right,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.439,7,0,28,3,1,left.png,,w,right,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.281,7,1,29,1,1,right.png,,p,right,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,3.367,7,2,30,0,1,right.png,,p,left,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.005,7,3,31,2,1,left.png,,w,left,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,2.747,8,0,32,0,1,right.png,,p,left,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.5,8,1,33,3,1,left.png,,w,right,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,3.411,8,2,34,2,1,left.png,,w,left,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.748,8,3,35,1,1,right.png,,p,right,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.949,9,0,36,2,1,left.png,,w,left,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,2.224,9,1,37,1,1,right.png,,p,right,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,31.544,9,2,38,3,1,left.png,,w,right,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,9.221,9,3,39,0,1,right.png,,p,left,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,space,0,10.109,w,8.783,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,p,2.187,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,p,1.487,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,w,1.591,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,p,3.089,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,p,2.797,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,p,1.537,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,p,10.954,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,p,2.824,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,w,1.36,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,p,2.872,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,p,1.275,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,w,0.439,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,w,1.992,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,p,2.805,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,p,2.239,15,0,15,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,p,2.473,16,0,16,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,p,2.325,17,0,17,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,615f2b3f0eafbabe579b889a,2021-10-27_11h09.42.768,arrow_simon_punish,2021.1.2,MacIntel,57.20823799,,,,p,2.239,18,0,18,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
