instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,target_file,target_pos,target_resp,target_side,participant,date,expName,psychopyVersion,OS,frameRate,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,target_onset,err,pun,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,block_num,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,punish,complete_resp.keys,complete_resp.rt,raffle_trial,raffle_err,raffle_rew
space,0,49.7774,p,1,0.9728,0,0,0,0,1,right.png,,p,left,616f163158768db6c71b4a65,2021-10-21_14h28.59.907,arrow_simon_punish,2021.1.2,Win32,60.24459305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,0,0.8719,0,1,1,1,1,right.png,,p,right,616f163158768db6c71b4a65,2021-10-21_14h28.59.907,arrow_simon_punish,2021.1.2,Win32,60.24459305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.191,0,2,2,3,1,left.png,,w,right,616f163158768db6c71b4a65,2021-10-21_14h28.59.907,arrow_simon_punish,2021.1.2,Win32,60.24459305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.2829,0,3,3,2,1,left.png,,w,left,616f163158768db6c71b4a65,2021-10-21_14h28.59.907,arrow_simon_punish,2021.1.2,Win32,60.24459305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.1102,1,0,4,1,1,right.png,,p,right,616f163158768db6c71b4a65,2021-10-21_14h28.59.907,arrow_simon_punish,2021.1.2,Win32,60.24459305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.0162,1,1,5,2,1,left.png,,w,left,616f163158768db6c71b4a65,2021-10-21_14h28.59.907,arrow_simon_punish,2021.1.2,Win32,60.24459305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,0,0.9508,1,2,6,3,1,left.png,,w,right,616f163158768db6c71b4a65,2021-10-21_14h28.59.907,arrow_simon_punish,2021.1.2,Win32,60.24459305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.3704,1,3,7,0,1,right.png,,p,left,616f163158768db6c71b4a65,2021-10-21_14h28.59.907,arrow_simon_punish,2021.1.2,Win32,60.24459305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.7827,2,0,8,1,1,right.png,,p,right,616f163158768db6c71b4a65,2021-10-21_14h28.59.907,arrow_simon_punish,2021.1.2,Win32,60.24459305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,0,0.7173,2,1,9,0,1,right.png,,p,left,616f163158768db6c71b4a65,2021-10-21_14h28.59.907,arrow_simon_punish,2021.1.2,Win32,60.24459305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.8867,2,2,10,2,1,left.png,,w,left,616f163158768db6c71b4a65,2021-10-21_14h28.59.907,arrow_simon_punish,2021.1.2,Win32,60.24459305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,0,0.8913,2,3,11,3,1,left.png,,w,right,616f163158768db6c71b4a65,2021-10-21_14h28.59.907,arrow_simon_punish,2021.1.2,Win32,60.24459305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.8071,3,0,12,1,1,right.png,,p,right,616f163158768db6c71b4a65,2021-10-21_14h28.59.907,arrow_simon_punish,2021.1.2,Win32,60.24459305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.5546,3,1,13,2,1,left.png,,w,left,616f163158768db6c71b4a65,2021-10-21_14h28.59.907,arrow_simon_punish,2021.1.2,Win32,60.24459305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.9387,3,2,14,3,1,left.png,,w,right,616f163158768db6c71b4a65,2021-10-21_14h28.59.907,arrow_simon_punish,2021.1.2,Win32,60.24459305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.2499,3,3,15,0,1,right.png,,p,left,616f163158768db6c71b4a65,2021-10-21_14h28.59.907,arrow_simon_punish,2021.1.2,Win32,60.24459305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,0,1.3323,4,0,16,2,1,left.png,,w,left,616f163158768db6c71b4a65,2021-10-21_14h28.59.907,arrow_simon_punish,2021.1.2,Win32,60.24459305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,0,0.7334,4,1,17,3,1,left.png,,w,right,616f163158768db6c71b4a65,2021-10-21_14h28.59.907,arrow_simon_punish,2021.1.2,Win32,60.24459305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.8987,4,2,18,0,1,right.png,,p,left,616f163158768db6c71b4a65,2021-10-21_14h28.59.907,arrow_simon_punish,2021.1.2,Win32,60.24459305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
