instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,target_file,target_pos,target_resp,target_side,participant,date,expName,psychopyVersion,OS,frameRate,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,target_onset,err,pun,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,block_num,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,punish,complete_resp.keys,complete_resp.rt,raffle_trial,raffle_err,raffle_rew
space,0,86.0201,w,1,2.5876,0,0,0,2,1,left.png,,w,left,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.3522,0,1,1,1,1,right.png,,p,right,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.6073,0,2,2,3,1,left.png,,w,right,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.2849,0,3,3,0,1,right.png,,p,left,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.1013,1,0,4,2,1,left.png,,w,left,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.9675,1,1,5,0,1,right.png,,p,left,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.9656,1,2,6,3,1,left.png,,w,right,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.8837,1,3,7,1,1,right.png,,p,right,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.0375,2,0,8,1,1,right.png,,p,right,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,0,1.1374,2,1,9,0,1,right.png,,p,left,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.3621,2,2,10,3,1,left.png,,w,right,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.8095,2,3,11,2,1,left.png,,w,left,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.0708,3,0,12,1,1,right.png,,p,right,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.4491,3,1,13,3,1,left.png,,w,right,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.7892,3,2,14,2,1,left.png,,w,left,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.6985,3,3,15,0,1,right.png,,p,left,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,0,0.7014,4,0,16,1,1,right.png,,p,right,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.5013,4,1,17,2,1,left.png,,w,left,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.4885,4,2,18,0,1,right.png,,p,left,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.9457,4,3,19,3,1,left.png,,w,right,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.762,5,0,20,0,1,right.png,,p,left,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.8489,5,1,21,1,1,right.png,,p,right,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.6137,5,2,22,3,1,left.png,,w,right,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.6737,5,3,23,2,1,left.png,,w,left,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,1.3893,6,0,24,3,1,left.png,,w,right,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.7465,6,1,25,1,1,right.png,,p,right,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.4661,6,2,26,2,1,left.png,,w,left,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.0141,6,3,27,0,1,right.png,,p,left,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,0.6276,7,0,28,0,1,right.png,,p,left,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,w,1,0.5284,7,1,29,3,1,left.png,,w,right,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,p,1,1.3366,7,2,30,1,1,right.png,,p,right,616b412ca506c4160a608a4a,2021-10-21_07h59.25.283,arrow_simon_punish,2021.1.2,Win32,61.04260774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
